,anime,recs
0,Nichijou,Danshi Koukousei no Nichijou
1,Nichijou,Azumanga Daioh
2,Nichijou,Lucky☆Star
3,Nichijou,Asobi Asobase
4,Nichijou,Acchi Kocchi (TV)
5,Nichijou,Yuru Yuri
6,Nichijou,Sakamoto Desu ga?
7,Nichijou,Joshiraku
8,Nichijou,Plastic Neesan
9,Nichijou,Paniponi Dash!
10,Nichijou,Kobayashi-san Chi no Maid Dragon
11,Nichijou,Tonari no Seki-kun
12,Nichijou,Joshikousei no Mudazukai
13,Nichijou,Saiki Kusuo no Ψ-nan
14,Nichijou,Osomatsu-san
15,Nichijou,Sakigake!! Cromartie Koukou
16,Nichijou,School Rumble
17,Nichijou,Gintama
18,Nichijou,Non Non Biyori
19,Nichijou,Seto no Hanayome
20,Nichijou,Yuyushiki
21,Nichijou,Kill Me Baby
22,Nichijou,Gekkan Shoujo Nozaki-kun
23,Nichijou,Working!!
24,Nichijou,Sayonara Zetsubou Sensei
25,Nichijou,Poputepipikku
26,Nichijou,Ichigo Mashimaro
27,Nichijou,Sabage-bu!
28,Nichijou,Mitsudomoe
29,Nichijou,Arakawa Under the Bridge
30,Nichijou,Nisemonogatari
31,Nichijou,Tanaka-kun wa Itsumo Kedaruge
32,Nichijou,Tonari no Yamada-kun
33,Nichijou,Hinamatsuri
34,Nichijou,Katte ni Kaizou
35,Nichijou,Chuunibyou demo Koi ga Shitai!
36,Nichijou,GA: Geijutsuka Art Design Class
37,Nichijou,Aho Girl
38,Nichijou,Kono Subarashii Sekai ni Shukufuku wo!
39,Nichijou,Chio-chan no Tsuugakuro
40,Nichijou,Soredemo Machi wa Mawatteiru
41,Nichijou,Goku Sayonara Zetsubou Sensei
42,Nichijou,Yuri Seijin Naoko-san (2012)
43,Nichijou,Shirokuma Cafe
44,Nichijou,Mob Psycho 100
45,Nichijou,Shinryaku! Ika Musume
46,Nichijou,Seitokai Yakuindomo
47,Nichijou,Zan Sayonara Zetsubou Sensei
48,Nichijou,Gabriel DropOut
49,Nichijou,Oshiete! Galko-chan
50,Nichijou,Hibike! Euphonium
51,Nichijou,Kekkai Sensen
52,Nichijou,Space☆Dandy
53,Nichijou,Barakamon
54,Nichijou,Ueno-san wa Bukiyou
55,Nichijou,Mahou Shoujo Madoka★Magica
56,Nichijou,Sketchbook: Full Color's
57,Nichijou,WWW.Working!!
58,Nichijou,Machikado Mazoku
59,Nichijou,Zoku Sayonara Zetsubou Sensei
60,Nichijou,Saint☆Oniisan (Movie)
61,Nichijou,Tsurezure Children
62,Nichijou,Tales of Gekijou
63,Nichijou,Nandaka Velonica
64,Nichijou,Chi's Sweet Home
65,Nichijou,K-On!
66,Nichijou,Hisone to Maso-tan
67,Nichijou,Amagi Brilliant Park
68,Nichijou,Null Peta
69,Nichijou,Bobobo-bo Bo-bobo
70,Nichijou,Danshi Koukousei no Nichijou Specials
71,Nichijou,D-Frag!
72,Nichijou,Hidamari Sketch
73,Nichijou,Sansha Sanyou
74,Nichijou,Kill la Kill
75,Nichijou,Yuru Yuri♪♪
76,Nichijou,Gokusen
77,Nichijou,Usagi Drop
78,Nichijou,Non Non Biyori Repeat
79,Nichijou,Carnival Phantasm
80,Nichijou,Hyakko
81,Nichijou,SKET Dance
82,Nichijou,Sexy Commando Gaiden: Sugoiyo!! Masaru-san
83,Nichijou,Jungle wa Itsumo Hare nochi Guu
84,Nichijou,Tantei Opera Milky Holmes
85,Nichijou,A-Channel
86,Nichijou,Kitakubu Katsudou Kiroku
87,Nichijou,Panty & Stocking with Garterbelt
88,Nichijou,Kimi to Boku.
89,Nichijou,Binzume Yousei
90,Nichijou,Hayate no Gotoku!
91,Nichijou,School Rumble Ni Gakki
92,Nichijou,Princess Tutu
93,Nichijou,Potemayo
94,Nichijou,Gaikotsu Shotenin Honda-san
95,Nichijou,Strange+
96,Nichijou,Shin Strange+
97,Nichijou,Denki-gai no Honya-san
98,Nichijou,Teekyuu
99,Nichijou,Wan Sheng Jie
100,Nichijou,Hanamaru Youchien
101,Nichijou,Saint☆Oniisan
102,Nichijou,Minami-ke
103,Nichijou,Kimi to Boku. 2
104,Nichijou,FLCL
105,Nichijou,Nisekoi
106,Nichijou,Kyouran Kazoku Nikki
107,Nichijou,Motto To LOVE-Ru
